"","CSF 1","CSF 2","CSF 3","CSF 4","CSF 5","CSF 6","CSF 7","CSF 8","CSF 9","CSF 10","CSF 11","CSF 12","CSF 13","CSF 14","CSF 15","CSF 16","CSF 17","CSF 18","CSF 19","CSF 20","CSF 21","CSF 22","CSF 23","CSF 24","CSF 25","CSF 26","CSF 27","CSF 28","CSF 29","CSF 30","CSF 31","CSF 32","CSF 33","CSF 34","CSF 35","CSF 36","CSF 37","CSF 38","CSF 39","CSF 40","CSF 41","CSF 42"
"LPC 8:0-sn1","1.895143e-04","1.196866e-04","3.228541e-04","1.773730e-04",NA,"2.151792e-04","2.328725e-04","2.079060e-04","2.756920e-04","1.207086e-04","1.301542e-04","3.272353e-04","7.889688e-05","6.348401e-05","1.384101e-04","1.066982e-04","2.486101e-04","1.194293e-04","3.219398e-04","2.595221e-04","1.111831e-04","6.192087e-05","1.129883e-04","1.397346e-04","1.642824e-04","2.293511e-04","1.577881e-04",NA,NA,"1.178057e-04","6.383505e-05","4.033253e-05","3.902448e-04","1.423914e-04","1.133861e-04","1.350624e-04","1.504398e-04","1.282994e-04","1.462057e-04","1.358029e-04","1.096093e-04","7.939812e-05"
"LPE 9:0-sn1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LPC 10:0-sn2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LPC 10:0-sn1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LPC 12:0-sn2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LPC 12:0-sn1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LPE 14:1-sn2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LPC 14:1-sn2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LPE 14:1-sn1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LPC 14:1-sn1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
